amount,hour,category,distance_from_home_km,txns_last_24h,is_foreign,card_present,actual_fraud
22.59,8,online_retail,3.0,3,0,1,0
54.23,21,fuel,11.1,2,0,0,0
8.89,19,restaurant,1.3,4,0,1,0
91.24,9,restaurant,2.5,1,0,1,0
40.19,15,fuel,13.6,3,0,1,0
4.49,7,restaurant,20.9,3,0,0,0
9.29,18,online_retail,19.3,0,0,1,0
97.14,21,online_retail,12.3,0,0,1,0
37.66,10,fuel,19.9,3,0,1,0
20.83,9,online_retail,12.5,3,0,1,0
49.32,21,grocery,6.7,2,0,0,0
11.39,19,online_retail,7.7,1,0,1,0
11.7,18,fuel,2.5,0,0,1,0
13.98,7,grocery,30.2,1,0,1,0
106.37,18,electronics,0.6,1,1,0,0
51.98,22,restaurant,6.3,0,1,1,0
19.87,11,restaurant,4.1,1,0,0,0
4.17,18,restaurant,12.0,2,0,1,0
69.4,18,fuel,39.6,1,0,1,0
29.13,18,atm,21.0,1,0,1,0
10.47,8,online_retail,29.3,1,0,1,0
73.95,14,grocery,4.8,2,0,1,0
6.43,8,restaurant,3.4,3,0,1,0
50.7,22,grocery,9.0,1,0,1,0
12.75,13,online_retail,38.5,2,0,1,0
65.35,11,online_retail,6.0,1,0,0,0
44.4,21,grocery,49.9,2,0,0,0
21.18,10,restaurant,5.6,2,0,1,0
117.17,21,restaurant,9.2,1,1,1,0
26.41,11,grocery,0.3,0,0,1,0
6.19,11,grocery,14.7,2,0,1,0
32.02,7,fuel,10.2,1,0,0,0
44.49,20,electronics,23.3,1,0,1,0
27.37,18,restaurant,23.2,2,0,1,0
7.29,11,electronics,5.5,3,0,1,0
35.1,21,online_retail,4.3,2,0,1,0
18.15,13,online_retail,1.2,1,0,0,0
38.65,14,restaurant,9.3,0,0,1,0
98.3,17,grocery,2.7,2,0,1,0
25.76,18,travel,2.2,3,0,1,0
2.78,10,fuel,10.0,1,0,1,0
10.22,11,grocery,9.8,0,0,1,0
103.77,20,grocery,4.6,4,0,1,0
231.1,16,grocery,18.2,1,0,1,0
20.88,19,grocery,12.5,3,0,1,0
289.49,11,grocery,22.4,0,0,0,0
45.8,19,atm,13.0,0,0,1,0
100.6,8,grocery,12.9,1,0,0,0
35.23,18,online_retail,9.0,4,0,1,0
171.14,11,online_retail,19.8,2,0,1,0
26.05,21,restaurant,18.0,0,0,1,0
16.92,20,fuel,0.4,1,0,0,0
7.55,7,restaurant,0.1,2,0,1,0
287.91,8,online_retail,4.9,3,0,0,0
32.11,22,grocery,5.9,1,0,0,0
8.45,17,grocery,9.7,1,0,1,0
67.04,17,restaurant,18.5,2,0,1,0
194.98,20,fuel,18.9,0,0,1,0
66.93,8,atm,6.0,0,0,1,0
43.81,11,grocery,23.0,0,0,1,0
30.79,7,fuel,2.8,0,0,1,0
32.62,13,online_retail,53.2,2,0,1,0
41.62,14,electronics,0.6,2,0,1,0
71.95,13,atm,25.4,1,0,1,0
66.76,11,grocery,13.4,1,0,1,0
6.86,12,fuel,40.7,0,0,1,0
38.41,16,restaurant,10.0,2,0,1,0
24.35,21,restaurant,0.4,1,0,1,0
49.5,10,restaurant,12.4,1,0,1,0
284.2,18,fuel,2.2,1,1,1,0
12.71,21,online_retail,0.7,3,0,1,0
9.74,7,online_retail,6.6,1,0,1,0
67.14,16,fuel,4.4,0,0,0,0
44.68,17,fuel,8.4,1,0,0,0
8.81,17,atm,26.4,3,0,0,0
16.07,11,grocery,20.7,1,0,1,0
8.36,16,online_retail,33.2,0,0,1,0
13.92,18,grocery,22.1,3,0,0,0
156.31,22,grocery,6.7,2,0,0,0
102.23,15,atm,23.5,2,0,1,0
120.49,11,online_retail,1.4,1,0,1,0
81.96,14,electronics,7.0,2,0,0,0
30.35,14,travel,3.4,3,0,0,0
11.09,11,atm,9.3,1,0,1,0
70.3,17,fuel,3.8,0,0,1,0
75.54,22,travel,10.0,1,0,1,0
39.15,19,restaurant,0.8,1,0,0,0
38.35,21,restaurant,59.1,0,0,1,0
52.75,7,online_retail,11.8,3,1,0,0
5.86,14,grocery,24.4,4,0,0,0
74.97,21,grocery,2.7,1,0,0,0
18.73,20,online_retail,2.6,3,0,1,0
137.15,19,atm,8.6,0,1,0,0
157.24,8,fuel,24.4,0,0,1,0
102.42,1,online_retail,7.2,13,0,0,1
149.06,8,restaurant,0.2,3,0,1,0
56.76,22,grocery,20.5,2,0,0,0
39.32,20,grocery,3.5,2,0,1,0
55.12,15,electronics,5.1,1,0,0,0
221.96,8,online_retail,3.6,0,0,1,0
20.58,14,travel,0.3,1,0,1,0
65.62,22,online_retail,6.7,0,0,1,0
21.56,18,grocery,9.7,2,0,1,0
19.72,22,grocery,4.0,1,0,1,0
35.18,17,travel,29.0,3,0,0,0
26.51,15,grocery,22.1,1,0,1,0
118.68,22,online_retail,7.0,0,0,0,0
30.17,9,grocery,10.3,2,0,0,0
