amount,hour,category,distance_from_home_km,txns_last_24h,is_foreign,card_present,is_fraud
23.98,12,restaurant,4.3,1,0,0,0
90.47,11,fuel,37.5,2,0,1,0
96.23,20,atm,5.9,2,0,0,0
49.64,21,grocery,11.0,1,0,1,0
28.21,15,grocery,3.8,1,0,1,0
105.72,22,online_retail,5.7,2,0,1,0
145.19,17,travel,1.6,1,0,1,0
24.97,9,grocery,0.9,1,0,1,0
13.95,20,grocery,4.3,1,0,1,0
35.12,19,restaurant,13.8,3,0,0,0
13.72,18,grocery,0.6,2,0,0,0
56.44,18,grocery,27.1,5,0,1,0
214.03,22,restaurant,5.7,2,0,1,0
49.87,9,grocery,7.8,2,0,0,0
71.75,10,fuel,5.9,1,0,0,0
60.14,22,restaurant,55.4,2,0,1,0
22.07,21,restaurant,4.8,5,0,0,0
27.95,7,online_retail,20.6,4,0,1,0
42.98,21,grocery,4.4,1,0,1,0
33.67,16,restaurant,11.5,0,0,0,0
31.73,10,grocery,3.5,3,0,1,0
5.89,17,travel,14.3,0,0,1,0
30.07,10,travel,21.8,3,0,1,0
71.1,19,grocery,11.6,2,0,1,0
90.01,22,atm,24.6,2,0,1,0
33.81,16,online_retail,0.9,0,0,0,0
21.95,19,grocery,3.4,2,0,1,0
53.5,18,online_retail,1.2,4,0,0,0
13.4,18,online_retail,14.2,4,0,0,0
34.78,14,grocery,0.5,2,0,1,0
8.12,18,jewelry,1.9,1,0,1,0
104.21,21,grocery,6.7,5,0,0,0
3.99,10,online_retail,0.9,2,0,1,0
8.43,11,grocery,23.7,1,0,1,0
29.49,16,electronics,17.7,1,0,0,0
20.06,21,online_retail,13.3,0,0,1,0
53.19,20,grocery,5.4,2,0,0,0
55.85,11,restaurant,40.7,3,0,1,0
18.02,8,grocery,0.5,1,0,1,0
19.02,12,restaurant,37.3,3,0,1,0
21.74,21,electronics,0.6,2,0,1,0
28.77,19,restaurant,4.3,2,0,1,0
14.33,18,fuel,19.8,1,0,0,0
38.13,8,grocery,2.1,0,0,1,0
13.54,10,grocery,2.5,2,0,1,0
54.01,13,atm,59.4,4,0,1,0
27.03,8,electronics,4.5,2,0,1,0
94.34,9,grocery,19.6,2,0,1,0
81.05,17,travel,11.5,1,0,1,0
30.01,7,restaurant,38.7,1,0,0,0
13.89,14,grocery,19.8,2,0,0,0
200.22,1,electronics,485.2,6,0,0,1
35.58,14,grocery,4.0,2,0,1,0
15.24,14,travel,8.0,2,0,0,0
31.89,15,grocery,23.0,2,0,1,0
11.84,20,travel,49.0,1,0,1,0
15.44,18,restaurant,15.9,4,0,0,0
2.83,9,restaurant,16.7,0,0,1,0
55.04,13,online_retail,24.6,4,0,0,0
92.83,8,restaurant,24.9,2,0,1,0
87.38,13,restaurant,1.3,0,0,1,0
4.58,9,grocery,21.8,4,0,1,0
286.04,12,grocery,0.1,2,0,1,0
98.87,21,grocery,4.5,0,0,0,0
554.17,0,travel,221.6,8,0,1,0
97.55,7,grocery,22.1,3,0,1,0
67.19,7,fuel,31.7,1,0,1,0
18.02,16,grocery,27.3,0,0,1,0
5.22,22,online_retail,17.0,3,0,1,0
35.25,8,restaurant,2.3,3,0,0,0
36.54,10,online_retail,4.9,1,0,1,0
77.8,10,electronics,25.8,0,0,1,0
14.44,9,online_retail,13.3,2,0,1,0
345.33,17,grocery,10.7,1,0,1,0
11.81,9,restaurant,9.2,1,0,0,0
46.8,21,grocery,5.5,1,0,1,0
29.37,22,electronics,0.5,0,0,1,0
12.6,14,restaurant,12.3,1,0,1,0
234.77,16,online_retail,9.1,1,0,1,0
73.56,13,online_retail,1.4,4,0,1,0
18.32,7,travel,6.8,2,0,1,0
158.87,11,online_retail,12.0,0,0,0,0
18.48,21,grocery,18.9,0,0,1,0
4.41,18,grocery,6.0,1,0,0,0
15.54,22,electronics,3.3,0,0,1,0
30.05,18,grocery,30.5,0,0,1,0
30.53,10,atm,9.6,4,0,1,0
56.17,8,atm,12.1,0,0,1,0
38.96,9,restaurant,4.3,3,0,0,0
141.45,21,fuel,2.5,0,0,1,0
22.54,13,grocery,3.8,3,0,1,0
10.13,21,restaurant,0.9,2,0,0,0
13.49,7,grocery,4.9,2,0,0,0
7.82,17,restaurant,31.8,2,1,1,0
26.14,10,electronics,8.0,2,0,1,0
75.02,19,atm,9.4,3,0,1,0
95.65,21,electronics,59.3,1,0,1,0
49.83,22,fuel,16.3,1,0,0,0
