amount,hour,category,distance_from_home_km,txns_last_24h,is_foreign,card_present,fraud_probability,actual_fraud
46.24,15,fuel,11.8,4,0,1,0.1259,0
82.73,15,grocery,2.9,0,0,1,0.0822,0
27.31,18,grocery,6.6,2,0,0,0.1172,0
530.2,3,travel,54.7,5,1,0,0.9701,0
36.61,21,restaurant,6.7,1,0,0,0.1245,0
90.8,15,restaurant,1.3,1,0,1,0.0815,0
317.28,0,online_retail,17.2,9,0,0,0.9692,1
203.55,12,atm,131.1,5,0,0,0.9682,1
25.39,22,electronics,7.6,4,0,1,0.1507,0
23.72,18,atm,2.9,2,0,0,0.1372,0
38.08,15,online_retail,7.6,2,0,1,0.1353,0
4.56,18,restaurant,6.4,1,0,1,0.3319,0
64.99,17,grocery,1.8,2,0,1,0.0989,0
39.82,8,electronics,3.2,1,0,0,0.3454,0
13.25,15,atm,17.5,0,0,1,0.104,0
9.69,8,online_retail,21.7,0,0,1,0.1307,0
423.99,15,atm,277.2,6,1,0,0.9682,1
33.34,16,online_retail,18.7,0,0,1,0.092,0
5.35,19,atm,24.6,2,0,1,0.1005,0
37.46,7,grocery,4.5,2,0,1,0.1158,0
245.8,9,online_retail,18.6,1,0,1,0.0758,0
15.94,7,restaurant,1.1,0,0,0,0.1462,0
575.63,4,jewelry,153.3,12,0,0,0.9693,1
76.19,17,restaurant,10.4,1,0,1,0.1011,0
10.21,15,restaurant,4.7,0,0,1,0.0765,0
19.16,11,grocery,10.0,1,0,1,0.1058,0
260.37,14,grocery,11.0,2,0,1,0.0802,0
9.39,13,grocery,8.0,0,0,0,0.0664,0
95.13,21,atm,10.1,1,0,1,0.088,0
107.55,21,atm,21.3,2,0,0,0.0882,0
47.27,14,restaurant,7.8,0,0,1,0.0961,0
13.87,11,online_retail,5.5,6,0,1,0.2779,0
6.66,22,atm,0.1,0,0,0,0.0853,0
19.64,10,grocery,20.6,1,0,1,0.099,0
23.03,14,fuel,10.0,2,0,1,0.0941,0
147.56,11,grocery,6.6,6,0,1,0.2389,0
11.52,10,travel,4.8,1,0,1,0.0815,0
660.95,12,jewelry,11.5,7,0,0,0.9078,1
372.58,18,travel,21.9,2,0,1,0.6343,0
33.12,22,atm,2.8,0,0,1,0.0592,0
30.87,14,restaurant,8.8,3,0,1,0.0991,0
30.79,14,grocery,37.5,2,0,0,0.2127,0
66.17,9,atm,8.3,0,0,1,0.0977,0
17.79,14,grocery,14.4,0,0,1,0.1083,0
46.49,19,online_retail,0.3,2,0,1,0.0652,0
11.83,14,travel,11.3,2,0,1,0.0825,0
36.14,20,restaurant,5.5,4,0,0,0.0997,0
14.8,20,atm,15.4,0,0,0,0.1141,0
23.33,8,fuel,5.1,1,0,1,0.1724,0
167.1,20,fuel,12.0,5,0,1,0.2709,0
12.68,8,grocery,7.8,0,0,0,0.2262,0
96.24,9,online_retail,1.4,3,0,1,0.1195,0
14.97,12,fuel,0.9,1,0,1,0.0944,0
50.53,17,grocery,7.6,1,0,1,0.0856,0
192.49,9,fuel,22.4,2,0,1,0.0464,0
40.73,8,fuel,17.0,0,0,1,0.138,0
18.96,19,electronics,8.5,0,0,1,0.1132,0
125.83,18,restaurant,12.6,1,0,1,0.1436,0
205.14,14,grocery,2.4,2,0,1,0.0853,0
11.18,10,grocery,14.7,1,0,1,0.0784,0
19.54,10,online_retail,13.4,0,0,0,0.0685,1
170.23,7,travel,1.2,2,0,1,0.083,0
81.19,8,atm,0.4,0,0,1,0.0631,0
30.8,16,grocery,22.9,0,0,1,0.1458,0
7.61,11,fuel,32.7,2,0,0,0.0787,0
35.27,16,grocery,23.3,1,0,1,0.1347,0
82.12,8,fuel,18.5,2,0,0,0.0506,0
224.99,22,travel,36.4,7,0,0,0.9187,1
19.85,21,grocery,33.2,1,0,0,0.0488,0
21.54,18,online_retail,2.5,1,0,1,0.1048,0
28.32,17,electronics,6.0,7,0,1,0.7131,0
24.17,12,fuel,9.2,0,0,1,0.0933,0
130.76,12,travel,23.9,3,0,1,0.0905,0
8.49,9,atm,0.0,2,0,1,0.0746,0
18.73,10,restaurant,10.1,3,0,1,0.0729,0
576.23,0,electronics,19.3,8,0,0,0.9692,1
28.93,14,fuel,5.9,1,0,0,0.1225,0
6.87,14,grocery,9.6,2,0,1,0.0977,0
44.24,15,grocery,1.6,3,0,1,0.1006,0
107.56,17,grocery,1.8,2,0,1,0.0846,0
60.09,20,online_retail,18.6,2,0,1,0.1057,0
7.09,13,grocery,14.3,0,1,1,0.1015,0
260.89,15,online_retail,9.3,1,0,1,0.0757,0
88.16,16,online_retail,0.3,3,0,1,0.0564,0
10.64,22,fuel,11.8,0,0,0,0.0513,0
72.76,14,electronics,13.1,1,0,1,0.0814,0
30.45,19,grocery,2.8,3,1,1,0.0961,0
45.36,10,restaurant,12.8,1,0,1,0.0683,0
32.55,20,electronics,10.2,2,0,0,0.1497,0
131.01,13,grocery,18.6,3,0,0,0.0863,0
39.2,19,travel,15.2,1,0,1,0.1249,0
8.89,21,grocery,13.6,2,1,1,0.1727,0
71.3,8,grocery,47.7,1,0,1,0.0193,0
12.89,11,grocery,23.9,1,0,1,0.1138,0
46.08,11,electronics,6.0,0,0,1,0.1054,0
24.66,14,grocery,25.3,1,0,1,0.1269,0
